,features,prediction
79,"[5.849999904632568,23.399999618530273]",1
80,"[5.900000095367432,23.549999237060547]",1
81,"[7.550000190734863,23.700000762939453]",1
82,"[6.849999904632568,23.25]",1
83,"[7.650000095367432,23.100000381469727]",1
84,"[6.949999809265137,22.549999237060547]",1
85,"[6.099999904632568,22.600000381469727]",1
86,"[5.5,22.600000381469727]",1
87,"[4.699999809265137,22.100000381469727]",1
88,"[3.799999952316284,21.850000381469727]",1
89,"[4.650000095367432,21.200000762939453]",1
90,"[4.150000095367432,20.350000381469727]",1
91,"[5.300000190734863,20.399999618530273]",1
92,"[5.599999904632568,20.75]",1
93,"[5.800000190734863,21.950000762939453]",1
94,"[6.400000095367432,21.950000762939453]",1
95,"[6.550000190734863,21.149999618530273]",1
96,"[7.449999809265137,21.950000762939453]",1
97,"[7.400000095367432,21.549999237060547]",1
98,"[7.75,21.200000762939453]",1
99,"[7.650000095367432,20.649999618530273]",1
100,"[6.949999809265137,19.799999237060547]",1
101,"[6.599999904632568,20.100000381469727]",1
102,"[6.050000190734863,20.200000762939453]",1
103,"[5.400000095367432,19.649999618530273]",1
104,"[5.349999904632568,19.049999237060547]",1
105,"[5.800000190734863,18.25]",1
106,"[6.300000190734863,19.100000381469727]",1
107,"[7.0,18.899999618530273]",1
108,"[7.150000095367432,17.899999618530273]",1
109,"[7.349999904632568,18.200000762939453]",1
110,"[8.199999809265137,20.049999237060547]",1
111,"[8.300000190734863,19.450000762939453]",1
112,"[8.300000190734863,18.5]",1
113,"[8.75,18.799999237060547]",1
114,"[9.050000190734863,18.200000762939453]",1
115,"[9.350000381469727,17.700000762939453]",1
116,"[8.899999618530273,17.649999618530273]",1
117,"[8.449999809265137,17.200000762939453]",1
118,"[10.050000190734863,17.200000762939453]",1
119,"[10.399999618530273,16.75]",1
120,"[8.600000381469727,20.899999618530273]",1
121,"[8.649999618530273,21.299999237060547]",1
122,"[8.649999618530273,21.899999618530273]",1
123,"[8.649999618530273,22.5]",1
124,"[8.949999809265137,22.799999237060547]",1
125,"[9.949999809265137,22.649999618530273]",1
126,"[8.949999809265137,22.200000762939453]",1
127,"[9.649999618530273,21.899999618530273]",1
128,"[10.550000190734863,22.299999237060547]",1
129,"[10.899999618530273,22.850000381469727]",1
130,"[11.350000381469727,23.450000762939453]",1
131,"[12.050000190734863,23.399999618530273]",1
132,"[12.300000190734863,22.75]",1
133,"[11.699999809265137,22.149999618530273]",1
134,"[11.149999618530273,22.049999237060547]",1
135,"[10.850000381469727,21.5]",1
136,"[10.850000381469727,21.049999237060547]",1
137,"[9.600000381469727,21.299999237060547]",1
138,"[9.850000381469727,20.700000762939453]",1
139,"[9.350000381469727,20.600000381469727]",1
140,"[9.25,19.649999618530273]",1
141,"[9.949999809265137,19.799999237060547]",1
142,"[10.699999809265137,20.350000381469727]",1
143,"[11.300000190734863,20.700000762939453]",1
144,"[12.350000381469727,21.600000381469727]",1
145,"[13.100000381469727,21.299999237060547]",1
146,"[12.850000381469727,20.75]",1
147,"[12.0,20.0]",1
148,"[11.0,19.850000381469727]",1
149,"[10.350000381469727,19.0]",1
150,"[9.899999618530273,18.649999618530273]",1
151,"[10.600000381469727,18.149999618530273]",1
152,"[11.399999618530273,18.299999237060547]",1
153,"[11.399999618530273,19.25]",1
154,"[12.350000381469727,18.799999237060547]",1
155,"[12.800000190734863,19.75]",1
156,"[12.149999618530273,18.100000381469727]",1
157,"[11.050000190734863,17.5]",1
158,"[11.949999809265137,17.25]",1
159,"[12.25,17.5]",1
160,"[13.050000190734863,17.399999618530273]",1
161,"[13.75,18.149999618530273]",1
162,"[13.5,18.649999618530273]",1
163,"[13.649999618530273,19.25]",1
164,"[14.0,19.899999618530273]",1
165,"[15.199999809265137,18.200000762939453]",1
166,"[15.5,17.149999618530273]",1
167,"[13.899999618530273,17.100000381469727]",1
168,"[13.75,16.600000381469727]",1
169,"[12.149999618530273,16.399999618530273]",1
170,"[7.800000190734863,13.699999809265137]",1
171,"[8.850000381469727,13.350000381469727]",0
172,"[9.0,12.699999809265137]",0
173,"[9.699999809265137,12.100000381469727]",0
174,"[8.050000190734863,12.899999618530273]",0
175,"[7.699999809265137,13.25]",0
176,"[6.800000190734863,13.199999809265137]",0
177,"[6.599999904632568,13.449999809265137]",1
178,"[6.199999809265137,12.550000190734863]",0
179,"[5.400000095367432,12.850000381469727]",0
180,"[5.699999809265137,12.25]",0
181,"[5.199999809265137,11.899999618530273]",0
182,"[5.150000095367432,11.350000381469727]",0
183,"[5.849999904632568,11.199999809265137]",0
184,"[6.099999904632568,11.75]",0
185,"[7.0,12.350000381469727]",0
186,"[7.050000190734863,12.449999809265137]",0
187,"[7.900000095367432,12.5]",0
188,"[8.550000190734863,12.100000381469727]",0
189,"[7.849999904632568,11.850000381469727]",0
190,"[7.099999904632568,11.949999809265137]",0
191,"[6.900000095367432,11.5]",0
192,"[6.849999904632568,10.899999618530273]",0
193,"[6.400000095367432,10.699999809265137]",0
194,"[5.900000095367432,10.300000190734863]",0
195,"[6.400000095367432,10.25]",0
196,"[7.050000190734863,10.050000190734863]",0
197,"[7.349999904632568,10.5]",0
198,"[7.650000095367432,11.100000381469727]",0
199,"[8.100000381469727,11.199999809265137]",0
200,"[8.800000190734863,11.399999618530273]",0
201,"[8.300000190734863,10.550000190734863]",0
202,"[9.0,10.899999618530273]",0
203,"[9.350000381469727,10.5]",0
204,"[10.149999618530273,11.0]",0
205,"[10.399999618530273,10.550000190734863]",0
206,"[10.899999618530273,10.0]",0
207,"[11.550000190734863,10.199999809265137]",0
208,"[11.75,10.850000381469727]",0
209,"[10.100000381469727,8.649999618530273]",0
210,"[11.050000190734863,9.100000381469727]",0
211,"[11.850000381469727,9.800000190734863]",0
212,"[12.850000381469727,10.649999618530273]",0
213,"[12.899999618530273,11.699999809265137]",0
214,"[13.600000381469727,11.100000381469727]",0
215,"[14.050000190734863,11.75]",0
216,"[14.5,11.800000190734863]",0
217,"[14.300000190734863,12.449999809265137]",0
218,"[17.0,12.899999618530273]",0
219,"[15.800000190734863,12.600000381469727]",0
220,"[15.850000381469727,12.0]",0
221,"[16.700000762939453,12.199999809265137]",0
222,"[16.25,11.699999809265137]",0
223,"[15.550000190734863,11.149999618530273]",0
224,"[14.800000190734863,11.350000381469727]",0
225,"[14.449999809265137,10.75]",0
226,"[13.75,10.449999809265137]",0
227,"[12.800000190734863,10.100000381469727]",0
228,"[13.149999618530273,9.800000190734863]",0
229,"[12.449999809265137,9.300000190734863]",0
230,"[11.800000190734863,8.949999809265137]",0
231,"[11.100000381469727,8.449999809265137]",0
232,"[10.350000381469727,7.699999809265137]",0
233,"[10.100000381469727,6.75]",0
234,"[11.300000190734863,7.949999809265137]",0
235,"[12.350000381469727,8.449999809265137]",0
236,"[13.100000381469727,8.949999809265137]",0
237,"[13.199999809265137,9.350000381469727]",0
238,"[14.100000381469727,10.050000190734863]",0
239,"[11.5,7.5]",0
240,"[11.350000381469727,6.900000095367432]",0
241,"[11.949999809265137,6.75]",0
242,"[12.399999618530273,7.099999904632568]",0
243,"[12.25,7.599999904632568]",0
244,"[12.949999809265137,7.599999904632568]",0
245,"[13.449999809265137,7.949999809265137]",0
246,"[13.350000381469727,8.25]",0
247,"[13.75,9.0]",0
248,"[14.300000190734863,9.300000190734863]",0
249,"[14.850000381469727,9.550000190734863]",0
250,"[15.100000381469727,10.25]",0
251,"[15.449999809265137,10.550000190734863]",0
252,"[16.350000381469727,10.850000381469727]",0
253,"[16.75,11.5]",0
254,"[16.25,10.199999809265137]",0
255,"[15.399999618530273,10.100000381469727]",0
256,"[15.449999809265137,9.699999809265137]",0
257,"[15.149999618530273,9.300000190734863]",0
258,"[15.25,8.649999618530273]",0
259,"[15.550000190734863,8.199999809265137]",0
260,"[14.25,8.699999809265137]",0
261,"[14.25,8.25]",0
262,"[15.050000190734863,7.800000190734863]",0
263,"[14.300000190734863,7.5]",0
264,"[13.550000190734863,7.449999809265137]",0
265,"[14.300000190734863,6.949999809265137]",0
266,"[13.949999809265137,6.699999809265137]",0
267,"[13.050000190734863,6.949999809265137]",0
268,"[13.050000190734863,6.199999809265137]",0
269,"[11.550000190734863,6.300000190734863]",0
270,"[10.800000190734863,5.849999904632568]",0
271,"[10.600000381469727,5.050000190734863]",0
272,"[11.350000381469727,5.550000190734863]",0
273,"[12.149999618530273,5.400000095367432]",0
274,"[12.399999618530273,5.800000190734863]",0
275,"[12.800000190734863,5.699999809265137]",0
276,"[13.649999618530273,5.900000095367432]",0
277,"[13.899999618530273,5.300000190734863]",0
278,"[13.100000381469727,5.099999904632568]",0
279,"[12.550000190734863,4.900000095367432]",0
280,"[11.5,4.75]",0
281,"[11.350000381469727,4.050000190734863]",0
282,"[12.399999618530273,4.349999904632568]",0
283,"[11.75,3.450000047683716]",0
284,"[12.649999618530273,3.700000047683716]",0
285,"[13.399999618530273,4.349999904632568]",0
286,"[13.899999618530273,4.949999809265137]",0
287,"[12.75,3.0]",0
288,"[13.550000190734863,3.1500000953674316]",0
289,"[13.699999809265137,3.6500000953674316]",0
290,"[14.100000381469727,4.099999904632568]",0
291,"[14.649999618530273,5.050000190734863]",0
292,"[14.350000381469727,5.75]",0
293,"[14.5,6.550000190734863]",0
294,"[15.149999618530273,7.099999904632568]",0
295,"[13.600000381469727,2.549999952316284]",0
296,"[14.449999809265137,2.4000000953674316]",0
297,"[14.600000381469727,3.049999952316284]",0
298,"[15.0,3.4000000953674316]",0
299,"[15.25,3.5]",0
300,"[14.699999809265137,4.099999904632568]",0
301,"[14.699999809265137,4.5]",0
302,"[15.25,2.700000047683716]",0
303,"[15.649999618530273,2.049999952316284]",0
304,"[15.949999809265137,2.799999952316284]",0
305,"[16.100000381469727,3.549999952316284]",0
306,"[15.899999618530273,4.0]",0
307,"[15.600000381469727,4.75]",0
308,"[15.550000190734863,5.050000190734863]",0
309,"[15.350000381469727,5.5]",0
310,"[15.149999618530273,5.949999809265137]",0
311,"[15.5,6.75]",0
312,"[15.699999809265137,6.349999904632568]",0
313,"[16.200000762939453,5.900000095367432]",0
314,"[16.350000381469727,5.349999904632568]",0
315,"[16.200000762939453,4.550000190734863]",0
316,"[16.549999237060547,4.199999809265137]",0
317,"[16.950000762939453,4.75]",0
318,"[17.049999237060547,5.099999904632568]",0
319,"[17.299999237060547,4.800000190734863]",0
320,"[17.299999237060547,4.150000095367432]",0
321,"[17.600000381469727,4.300000190734863]",0
322,"[17.049999237060547,3.700000047683716]",0
323,"[17.25,3.049999952316284]",0
324,"[16.649999618530273,2.799999952316284]",0
325,"[16.549999237060547,2.1500000953674316]",0
326,"[17.200000762939453,2.049999952316284]",0
327,"[18.149999618530273,1.9500000476837158]",0
328,"[18.049999237060547,2.450000047683716]",0
329,"[18.149999618530273,3.049999952316284]",0
330,"[18.600000381469727,3.450000047683716]",0
331,"[18.399999618530273,3.5999999046325684]",0
332,"[18.850000381469727,3.200000047683716]",0
333,"[19.100000381469727,2.6500000953674316]",0
334,"[19.450000762939453,2.6500000953674316]",0
335,"[19.0,2.0999999046325684]",0
336,"[19.899999618530273,2.049999952316284]",0
337,"[20.450000762939453,2.799999952316284]",0
338,"[19.799999237060547,3.25]",0
339,"[19.450000762939453,3.9000000953674316]",0
340,"[18.649999618530273,4.199999809265137]",0
341,"[18.399999618530273,4.599999904632568]",0
342,"[18.649999618530273,4.75]",0
343,"[18.75,5.150000095367432]",0
344,"[19.100000381469727,4.550000190734863]",0
345,"[17.899999618530273,5.400000095367432]",0
346,"[17.649999618530273,5.699999809265137]",0
347,"[17.049999237060547,6.050000190734863]",0
348,"[17.399999618530273,6.5]",0
349,"[16.600000381469727,6.849999904632568]",0
350,"[15.699999809265137,7.150000095367432]",0
351,"[15.75,7.75]",0
352,"[16.600000381469727,7.949999809265137]",0
353,"[20.399999618530273,3.4000000953674316]",0
354,"[20.700000762939453,3.450000047683716]",0
355,"[21.149999618530273,2.8499999046325684]",0
356,"[21.75,2.6500000953674316]",0
357,"[22.0,3.25]",0
358,"[22.200000762939453,3.5]",0
359,"[21.450000762939453,3.75]",0
360,"[21.100000381469727,4.050000190734863]",0
361,"[20.149999618530273,4.300000190734863]",0
362,"[20.799999237060547,4.699999809265137]",0
363,"[20.700000762939453,5.150000095367432]",0
364,"[19.75,5.050000190734863]",0
365,"[19.850000381469727,5.5]",0
366,"[20.399999618530273,5.650000095367432]",0
367,"[20.549999237060547,5.75]",0
368,"[18.700000762939453,5.75]",0
369,"[19.25,5.949999809265137]",0
370,"[18.399999618530273,6.0]",0
371,"[18.450000762939453,6.599999904632568]",0
372,"[17.649999618530273,7.050000190734863]",0
373,"[16.700000762939453,7.400000095367432]",0
374,"[18.649999618530273,7.300000190734863]",0
375,"[18.049999237060547,7.349999904632568]",0
376,"[17.850000381469727,7.75]",0
377,"[17.5,8.25]",0
378,"[17.149999618530273,8.600000381469727]",0
379,"[17.049999237060547,9.0]",0
380,"[16.399999618530273,8.699999809265137]",0
381,"[16.049999237060547,8.949999809265137]",0
382,"[16.049999237060547,9.600000381469727]",0
383,"[16.5,9.75]",0
384,"[17.25,9.600000381469727]",0
385,"[17.600000381469727,9.899999618530273]",0
386,"[17.799999237060547,9.300000190734863]",0
387,"[18.0,8.550000190734863]",0
388,"[18.799999237060547,8.100000381469727]",0
389,"[18.799999237060547,8.350000381469727]",0
390,"[19.399999618530273,7.599999904632568]",0
391,"[19.25,6.599999904632568]",0
392,"[20.049999237060547,6.949999809265137]",0
393,"[19.799999237060547,7.5]",0
394,"[20.049999237060547,6.349999904632568]",0
395,"[21.149999618530273,5.699999809265137]",0
396,"[21.649999618530273,4.849999904632568]",0
397,"[22.149999618530273,4.349999904632568]",0
398,"[23.049999237060547,3.3499999046325684]",0
399,"[23.049999237060547,3.799999952316284]",0
400,"[23.149999618530273,4.400000095367432]",0
401,"[22.5,4.75]",0
402,"[22.149999618530273,5.199999809265137]",0
403,"[24.149999618530273,4.550000190734863]",0
404,"[23.5,5.050000190734863]",0
405,"[23.100000381469727,5.300000190734863]",0
406,"[23.0,5.75]",0
407,"[22.200000762939453,5.75]",0
408,"[21.850000381469727,6.199999809265137]",0
409,"[20.75,6.550000190734863]",0
410,"[21.0,7.150000095367432]",0
411,"[20.75,7.650000095367432]",0
412,"[20.0,8.199999809265137]",0
413,"[19.5,8.649999618530273]",0
414,"[18.850000381469727,9.050000190734863]",0
415,"[18.75,9.550000190734863]",0
416,"[18.600000381469727,10.0]",0
417,"[16.950000762939453,10.350000381469727]",0
418,"[17.350000381469727,10.850000381469727]",0
419,"[18.0,10.649999618530273]",0
420,"[18.5,10.550000190734863]",0
421,"[18.100000381469727,11.100000381469727]",0
422,"[17.549999237060547,11.300000190734863]",0
423,"[17.950000762939453,11.899999618530273]",0
424,"[18.299999237060547,12.0]",0
425,"[18.0,12.5]",0
426,"[19.0,11.649999618530273]",0
427,"[19.5,11.050000190734863]",0
428,"[19.450000762939453,10.550000190734863]",0
429,"[19.399999618530273,9.649999618530273]",0
430,"[20.100000381469727,9.399999618530273]",0
431,"[20.049999237060547,9.949999809265137]",0
432,"[20.049999237060547,10.199999809265137]",0
433,"[19.350000381469727,12.199999809265137]",0
434,"[19.200000762939453,12.25]",0
435,"[20.049999237060547,11.600000381469727]",0
436,"[20.600000381469727,11.149999618530273]",0
437,"[20.700000762939453,10.649999618530273]",0
438,"[21.299999237060547,11.649999618530273]",0
439,"[21.799999237060547,11.149999618530273]",0
440,"[21.850000381469727,10.699999809265137]",0
441,"[21.649999618530273,10.050000190734863]",0
442,"[20.950000762939453,10.199999809265137]",0
443,"[20.899999618530273,9.699999809265137]",0
444,"[21.649999618530273,9.449999809265137]",0
445,"[21.200000762939453,9.25]",0
446,"[20.75,8.75]",0
447,"[20.549999237060547,8.75]",0
448,"[21.100000381469727,8.0]",0
449,"[21.649999618530273,8.649999618530273]",0
450,"[21.75,8.199999809265137]",0
451,"[21.950000762939453,7.550000190734863]",0
452,"[22.0,6.75]",0
453,"[22.799999237060547,6.449999809265137]",0
454,"[22.649999618530273,6.650000095367432]",0
455,"[22.75,7.050000190734863]",0
456,"[23.0,7.349999904632568]",0
457,"[22.549999237060547,7.900000095367432]",0
458,"[22.200000762939453,8.699999809265137]",0
459,"[22.899999618530273,8.449999809265137]",0
460,"[22.350000381469727,9.199999809265137]",0
461,"[22.75,9.350000381469727]",0
462,"[22.399999618530273,10.050000190734863]",0
463,"[23.049999237060547,10.899999618530273]",0
464,"[23.299999237060547,9.850000381469727]",0
465,"[23.950000762939453,9.800000190734863]",0
466,"[23.649999618530273,9.100000381469727]",0
467,"[23.700000762939453,8.850000381469727]",0
468,"[24.25,8.25]",0
469,"[24.850000381469727,7.949999809265137]",0
470,"[23.5,7.849999904632568]",0
471,"[23.850000381469727,7.349999904632568]",0
472,"[23.950000762939453,6.900000095367432]",0
473,"[23.649999618530273,6.5]",0
474,"[23.600000381469727,5.699999809265137]",0
475,"[24.299999237060547,5.650000095367432]",0
476,"[24.799999237060547,6.400000095367432]",0
477,"[34.04999923706055,3.5]",2
478,"[33.04999923706055,3.8499999046325684]",2
479,"[32.0,3.799999952316284]",2
480,"[31.899999618530273,4.400000095367432]",2
481,"[31.049999237060547,4.75]",2
482,"[30.399999618530273,5.650000095367432]",2
483,"[30.75,6.099999904632568]",2
484,"[30.0,6.699999809265137]",2
485,"[30.100000381469727,7.400000095367432]",2
486,"[29.5,8.149999618530273]",2
487,"[30.75,8.0]",2
488,"[30.850000381469727,7.349999904632568]",2
489,"[31.5,6.75]",2
490,"[31.75,5.949999809265137]",2
491,"[32.349998474121094,6.449999809265137]",2
492,"[32.79999923706055,6.0]",2
493,"[32.04999923706055,5.099999904632568]",2
494,"[32.79999923706055,4.800000190734863]",2
495,"[32.650001525878906,4.400000095367432]",2
496,"[33.650001525878906,4.599999904632568]",2
497,"[33.04999923706055,5.150000095367432]",2
498,"[33.599998474121094,5.449999809265137]",2
499,"[34.5,5.050000190734863]",2
500,"[34.900001525878906,4.650000095367432]",2
501,"[35.45000076293945,4.099999904632568]",2
502,"[34.599998474121094,4.050000190734863]",2
503,"[34.20000076293945,4.199999809265137]",2
504,"[36.29999923706055,5.199999809265137]",2
505,"[35.54999923706055,5.349999904632568]",2
506,"[35.95000076293945,6.050000190734863]",2
507,"[34.79999923706055,5.849999904632568]",2
508,"[33.70000076293945,6.150000095367432]",2
509,"[33.95000076293945,6.599999904632568]",2
510,"[33.70000076293945,7.050000190734863]",2
511,"[32.75,7.099999904632568]",2
512,"[32.29999923706055,7.650000095367432]",2
513,"[33.0,7.900000095367432]",2
514,"[31.950000762939453,8.149999618530273]",2
515,"[31.149999618530273,8.649999618530273]",2
516,"[30.350000381469727,8.850000381469727]",2
517,"[29.850000381469727,9.0]",2
518,"[30.700000762939453,9.149999618530273]",2
519,"[29.700000762939453,9.899999618530273]",2
520,"[30.450000762939453,9.949999809265137]",2
521,"[30.950000762939453,9.850000381469727]",2
522,"[31.799999237060547,9.449999809265137]",2
523,"[32.45000076293945,8.800000190734863]",2
524,"[33.54999923706055,8.600000381469727]",2
525,"[34.349998474121094,7.699999809265137]",2
526,"[34.70000076293945,8.0]",2
527,"[34.599998474121094,7.25]",2
528,"[35.0,6.800000190734863]",2
529,"[35.5,7.349999904632568]",2
530,"[36.099998474121094,7.5]",2
531,"[36.54999923706055,7.0]",2
532,"[36.0,8.199999809265137]",2
533,"[35.349998474121094,8.050000190734863]",2
534,"[36.54999923706055,8.649999618530273]",2
535,"[36.400001525878906,9.100000381469727]",2
536,"[35.5,9.100000381469727]",2
537,"[34.54999923706055,8.850000381469727]",2
538,"[35.25,9.399999618530273]",2
539,"[34.400001525878906,9.5]",2
540,"[33.5,9.300000190734863]",2
541,"[33.849998474121094,9.800000190734863]",2
542,"[32.5,9.649999618530273]",2
543,"[32.29999923706055,10.25]",2
544,"[33.29999923706055,10.300000190734863]",2
545,"[31.600000381469727,10.5]",2
546,"[30.600000381469727,10.5]",2
547,"[30.399999618530273,11.100000381469727]",2
548,"[30.899999618530273,11.449999809265137]",2
549,"[30.700000762939453,11.649999618530273]",2
550,"[30.399999618530273,12.050000190734863]",2
551,"[31.200000762939453,12.0]",2
552,"[31.950000762939453,11.350000381469727]",2
553,"[31.649999618530273,11.050000190734863]",2
554,"[32.95000076293945,11.149999618530273]",2
555,"[32.650001525878906,11.699999809265137]",2
556,"[32.25,12.25]",2
557,"[32.04999923706055,12.25]",2
558,"[31.299999237060547,12.699999809265137]",2
559,"[31.950000762939453,12.949999809265137]",2
560,"[32.75,13.100000381469727]",2
561,"[33.150001525878906,13.199999809265137]",2
562,"[33.099998474121094,12.75]",2
563,"[33.150001525878906,12.100000381469727]",2
564,"[34.29999923706055,11.75]",2
565,"[34.0,10.850000381469727]",2
566,"[34.650001525878906,11.0]",2
567,"[34.79999923706055,10.100000381469727]",2
568,"[35.650001525878906,9.850000381469727]",2
569,"[36.349998474121094,10.0]",2
570,"[35.54999923706055,10.75]",2
571,"[35.79999923706055,11.550000190734863]",2
572,"[35.20000076293945,11.75]",2
573,"[34.70000076293945,11.75]",2
574,"[34.95000076293945,12.75]",2
575,"[34.04999923706055,12.550000190734863]",2
576,"[34.04999923706055,13.050000190734863]",2
577,"[33.25,13.699999809265137]",2
578,"[33.20000076293945,14.149999618530273]",2
579,"[33.25,14.699999809265137]",2
580,"[33.0,15.149999618530273]",2
581,"[32.95000076293945,15.649999618530273]",2
582,"[32.599998474121094,16.149999618530273]",2
583,"[32.45000076293945,16.75]",2
584,"[32.650001525878906,17.049999237060547]",2
585,"[32.75,17.299999237060547]",2
586,"[31.75,17.200000762939453]",2
587,"[31.700000762939453,17.649999618530273]",2
588,"[31.0,17.5]",2
589,"[31.149999618530273,17.899999618530273]",2
590,"[30.450000762939453,18.049999237060547]",2
591,"[30.049999237060547,18.799999237060547]",2
592,"[30.549999237060547,18.799999237060547]",2
593,"[30.5,19.299999237060547]",2
594,"[30.25,19.399999618530273]",2
595,"[29.600000381469727,19.850000381469727]",2
596,"[29.149999618530273,20.549999237060547]",2
597,"[30.25,20.450000762939453]",2
598,"[30.700000762939453,20.049999237060547]",2
599,"[31.0,19.899999618530273]",2
600,"[31.549999237060547,19.649999618530273]",2
601,"[31.5,18.549999237060547]",2
602,"[32.04999923706055,18.600000381469727]",2
603,"[31.950000762939453,19.100000381469727]",2
604,"[32.599998474121094,18.350000381469727]",2
605,"[32.849998474121094,17.950000762939453]",2
606,"[33.45000076293945,17.450000762939453]",2
607,"[33.70000076293945,17.0]",2
608,"[34.25,17.350000381469727]",2
609,"[34.29999923706055,18.049999237060547]",2
610,"[33.849998474121094,18.399999618530273]",2
611,"[33.04999923706055,18.850000381469727]",2
612,"[33.25,18.950000762939453]",2
613,"[32.79999923706055,19.149999618530273]",2
614,"[32.29999923706055,19.850000381469727]",2
615,"[32.79999923706055,20.0]",2
616,"[31.75,20.25]",2
617,"[31.75,20.75]",2
618,"[32.099998474121094,21.149999618530273]",2
619,"[31.549999237060547,21.600000381469727]",2
620,"[30.649999618530273,21.299999237060547]",2
621,"[29.950000762939453,21.600000381469727]",2
622,"[29.5,21.600000381469727]",2
623,"[30.350000381469727,22.049999237060547]",2
624,"[31.049999237060547,22.0]",2
625,"[31.549999237060547,22.200000762939453]",2
626,"[30.950000762939453,22.649999618530273]",2
627,"[30.299999237060547,23.100000381469727]",2
628,"[29.600000381469727,23.149999618530273]",2
629,"[29.350000381469727,22.549999237060547]",2
630,"[29.200000762939453,23.850000381469727]",2
631,"[30.75,24.0]",2
632,"[30.950000762939453,24.149999618530273]",2
633,"[31.450000762939453,23.700000762939453]",2
634,"[31.950000762939453,23.149999618530273]",2
635,"[32.54999923706055,22.049999237060547]",2
636,"[32.599998474121094,22.549999237060547]",2
637,"[33.25,22.25]",2
638,"[33.650001525878906,21.899999618530273]",2
639,"[33.5,21.299999237060547]",2
640,"[33.099998474121094,20.75]",2
641,"[33.79999923706055,20.399999618530273]",2
642,"[33.849998474121094,20.0]",2
643,"[34.150001525878906,19.299999237060547]",2
644,"[34.849998474121094,18.850000381469727]",2
645,"[35.29999923706055,18.549999237060547]",2
646,"[35.400001525878906,19.350000381469727]",2
647,"[34.54999923706055,19.75]",2
648,"[35.04999923706055,20.0]",2
649,"[35.95000076293945,19.850000381469727]",2
650,"[36.349998474121094,20.600000381469727]",2
651,"[35.5,20.549999237060547]",2
